time,open,high,low,close,volume,strategy_signal
2025-06-05 16:58:00,104674.65,104674.65,104666.18,104666.18,1.9895,0
2025-06-05 16:59:00,104666.18,104674.65,104666.18,104674.65,3.1662,0
2025-06-05 17:00:00,104674.65,104688.75,104674.65,104688.75,3.5167,0
2025-06-05 17:01:00,104688.75,104711.31,104688.75,104698.15,9.7577,0
2025-06-05 17:02:00,104698.15,104698.15,104698.15,104698.15,0.7873,0
2025-06-05 17:03:00,104698.15,104727.29,104698.15,104719.76,10.3432,0
2025-06-05 17:04:00,104719.76,104719.76,104719.76,104719.76,2.7005,0
2025-06-05 17:05:00,104719.76,104719.76,104719.76,104719.76,1.7167,0
2025-06-05 17:06:00,104719.76,104750.79,104719.76,104750.79,3.3999,0
2025-06-05 17:07:00,104750.79,104784.62,104750.79,104784.62,9.0652,0
2025-06-05 17:08:00,104784.62,104784.62,104767.7,104767.7,3.8511,0
2025-06-05 17:09:00,104767.71,104767.71,104750.78,104750.79,31.5969,0
2025-06-05 17:10:00,104750.79,104750.79,104743.36,104743.83,0.6374,0
2025-06-05 17:12:00,104747.97,104747.97,104742.33,104742.33,16.874,0
2025-06-05 17:13:00,104742.33,104742.33,104727.28,104727.29,4.6911000000000005,0
2025-06-05 17:14:00,104727.29,104744.2,104727.29,104744.2,7.425,0
2025-06-05 17:15:00,104744.2,104745.15,104744.2,104745.15,15.7646,0
2025-06-05 17:16:00,104745.15,104789.33,104744.2,104769.59,59.144,0
2025-06-05 17:17:00,104769.59,104769.59,104769.59,104769.59,11.7202,0
2025-06-05 17:18:00,104769.59,104785.56,104769.59,104785.56,15.4174,0
2025-06-05 17:19:00,104785.56,104817.53,104785.56,104813.76,12.4339,0
2025-06-05 17:20:00,104813.76,104813.76,104812.83,104812.83,4.7582,0
2025-06-05 17:21:00,104812.83,104831.14,104812.83,104817.53,24.0061,0
2025-06-05 17:22:00,104817.53,104817.53,104805.31,104805.31,8.0957,0
2025-06-05 17:23:00,104805.31,104805.31,104759.25,104759.25,54.0161,0
2025-06-05 17:24:00,104759.25,104780.87,104759.25,104778.98,11.0805,0
2025-06-05 17:25:00,104778.98,104789.33,104778.98,104789.33,0.9525,0
2025-06-05 17:26:00,104789.33,104799.67,104789.33,104799.67,3.0912,0
2025-06-05 17:27:00,104799.67,104799.67,104778.98,104778.98,7.1325,0
2025-06-05 17:28:00,104773.34,104773.34,104767.7,104767.7,4.2319,0
2025-06-05 17:29:00,104767.7,104767.7,104754.54,104754.54,2.3078,0
2025-06-05 17:30:00,104754.54,104765.83,104754.54,104765.83,3.1075,0
2025-06-05 17:31:00,104765.83,104765.84,104765.83,104765.84,3.1413,0
2025-06-05 17:32:00,104765.84,104765.84,104682.17,104682.17,23.8065,0
2025-06-05 17:33:00,104677.47,104697.2,104676.53,104697.2,4.8441,0
2025-06-05 17:34:00,104697.2,104697.2,104697.2,104697.2,14.0397,0
2025-06-05 17:35:00,104697.2,104733.87,104697.2,104733.87,12.3538,0
2025-06-05 17:36:00,104733.87,104737.62,104715.06,104715.06,13.6503,0
2025-06-05 17:37:00,104715.06,104729.97,104715.06,104715.06,11.261,0
2025-06-05 17:38:00,104715.06,104731.04,104715.06,104731.04,6.9828,0
2025-06-05 17:39:00,104731.04,104731.04,104731.04,104731.04,1.369,0
2025-06-05 17:40:00,104731.04,104751.73,104731.04,104751.73,8.866999999999999,0
2025-06-05 17:41:00,104751.73,104807.18,104751.73,104807.18,7.2792,0
2025-06-05 17:42:00,104807.18,104807.18,104807.18,104807.18,12.5549,0
2025-06-05 17:43:00,104807.18,104814.7,104807.18,104814.7,7.8266,0
2025-06-05 17:44:00,104814.7,104814.7,104814.7,104814.7,3.516,0
2025-06-05 17:45:00,104814.7,104864.53,104814.7,104864.53,2.7565,0
2025-06-05 17:46:00,104864.53,104890.84,104864.53,104881.45,19.8739,0
2025-06-05 17:47:00,104881.45,104919.98,104881.45,104912.47,28.9808,0
2025-06-05 17:48:00,104899.31,104908.7,104888.97,104888.97,3.2513,0
2025-06-05 17:49:00,104888.97,104888.97,104877.68,104877.68,37.0031,0
2025-06-05 17:50:00,104877.68,104892.6,104872.98,104891.79,22.7591,0
2025-06-05 17:51:00,104891.79,104906.83,104890.25,104890.25,5.8904,0
2025-06-05 17:52:00,104890.25,104890.25,104883.33,104883.33,6.0106,0
2025-06-05 17:53:00,104883.33,104883.33,104870.17,104882.39,9.208,0
2025-06-05 17:54:00,104882.39,104882.39,104872.04,104872.04,9.7164,0
2025-06-05 17:55:00,104872.04,104872.04,104860.76,104870.17,3.3836,0
2025-06-05 17:56:00,104870.17,104870.17,104870.17,104870.17,2.6236,0
2025-06-05 17:57:00,104870.17,104870.17,104870.17,104870.17,1.1368,0
2025-06-05 17:58:00,104870.17,104911.53,104870.16,104911.53,15.0374,0
2025-06-05 17:59:00,104911.53,104911.53,104899.31,104899.31,3.7955,0
2025-06-05 18:00:00,104899.31,104899.31,104879.56,104879.56,8.7734,0
2025-06-05 18:01:00,104879.56,104879.56,104848.54,104848.54,7.8846,0
2025-06-05 18:02:00,104848.54,104854.18,104828.81,104846.67,13.1355,0
2025-06-05 18:03:00,104846.67,104846.67,104843.84,104843.84,2.7034,0
2025-06-05 18:04:00,104843.84,104874.87,104843.84,104874.87,1.2315,0
2025-06-05 18:05:00,104874.87,104874.87,104838.2,104838.2,2.5342,0
2025-06-05 18:06:00,104838.2,104861.7,104833.83,104861.7,4.4801,0
2025-06-05 18:07:00,104861.7,104870.17,104861.7,104870.17,4.7125,0
2025-06-05 18:08:00,104870.17,104874.87,104870.17,104874.87,0.6549,0
2025-06-05 18:09:00,104874.87,104879.56,104874.87,104879.56,2.0481,0
2025-06-05 18:10:00,104879.56,104879.56,104851.37,104851.37,8.0752,0
2025-06-05 18:11:00,104851.37,104851.37,104851.37,104851.37,6.8641000000000005,0
2025-06-05 18:12:00,104851.37,104851.37,104833.51,104833.51,1.533,0
2025-06-05 18:13:00,104833.51,104845.73,104833.51,104845.73,10.0419,0
2025-06-05 18:14:00,104845.73,104845.73,104824.11,104824.11,3.653,0
2025-06-05 18:15:00,104824.11,104834.45,104824.11,104834.45,8.5208,0
2025-06-05 18:16:00,104834.45,104834.45,104803.43,104803.43,10.4793,0
2025-06-05 18:17:00,104803.43,104803.43,104747.03,104754.54,28.7819,0
2025-06-05 18:18:00,104754.54,104754.54,104749.84,104749.84,5.5652,0
