time,open,high,low,close,volume
2025-06-30 19:14:00,107713.67,107714.06,107713.67,107713.86,4.8765
2025-06-30 19:15:00,107713.86,107720.25,107713.86,107720.25,34.2262
2025-06-30 19:16:00,107709.9,107713.67,107709.9,107713.67,4.057
2025-06-30 19:17:00,107713.67,107789.81,107713.67,107789.81,29.2979
2025-06-30 19:18:00,107789.81,107810.48,107774.76,107810.48,36.9003
2025-06-30 19:19:00,107810.48,107811.43,107786.98,107786.98,21.6743
2025-06-30 19:20:00,107814.25,107814.31,107811.18,107811.22,16.873
2025-06-30 19:21:00,107811.22,107819.89,107811.22,107819.89,10.1299
2025-06-30 19:22:00,107819.89,107849.97,107819.89,107830.23,41.5483
2025-06-30 19:23:00,107841.51,107938.33,107841.51,107910.12,66.9025
2025-06-30 19:39:00,107952.43,107952.43,107910.12,107910.12,28.3664
2025-06-30 19:40:00,107910.12,107910.12,107910.12,107910.12,7.9828
2025-06-30 19:41:00,107910.12,107910.12,107910.12,107910.12,3.6258
2025-06-30 19:42:00,107910.12,107919.53,107827.24,107827.24,50.5419
2025-06-30 19:46:00,107837.75,107837.75,107837.74,107837.75,2.9212
2025-06-30 19:47:00,107837.75,107837.75,107837.75,107837.75,4.6119
2025-06-30 19:48:00,107837.75,107837.75,107837.75,107837.75,9.2481
2025-06-30 19:49:00,107837.75,107837.75,107837.75,107837.75,8.6631
2025-06-30 19:50:00,107837.75,107842.45,107837.75,107842.45,5.4192
2025-06-30 19:51:00,107842.45,107867.83,107842.45,107857.48,10.9037
2025-06-30 19:52:00,107857.48,107857.48,107843.39,107843.39,6.7377
2025-06-30 20:07:00,107685.47,107710.84,107685.47,107710.84,11.3956
2025-06-30 20:08:00,107710.84,107719.31,107710.84,107719.31,6.3957
2025-06-30 20:09:00,107719.31,107733.4,107719.31,107733.4,24.2551
2025-06-30 20:10:00,107733.4,107733.4,107733.4,107733.4,0.3978
2025-06-30 20:11:00,107733.4,107733.4,107725.89,107725.89,12.8787
2025-06-30 20:12:00,107725.89,107725.89,107723.06,107723.06,16.4788
2025-06-30 20:13:00,107723.06,107723.06,107723.06,107723.06,36.9149
2025-06-30 20:14:00,107723.06,107723.06,107723.06,107723.06,2.7952
2025-06-30 20:15:00,107723.06,107762.54,107723.06,107762.54,10.7113
2025-06-30 20:16:00,107762.54,107762.55,107762.54,107762.54,0.9561
2025-06-30 20:17:00,107762.54,107762.54,107747.51,107747.51,1.2203
