time,open,high,low,close,volume,amount,trades
2025-07-03 21:32:00,109625.62,109625.62,109625.62,109625.62,0.0,0.0,0
2025-07-03 21:32:00,109625.62,109635.03,109625.62,109635.03,1.738,190545.68214,1
2025-07-03 21:32:00,109625.62,109648.18,109625.62,109648.18,1.8413,201872.339134,2
2025-07-03 21:32:00,109625.62,109657.59,109625.62,109657.59,1.9675,215711.126992,3
2025-07-03 21:32:00,109625.62,109660.4,109625.62,109660.4,1.975,216533.579992,4
2025-07-03 21:32:00,109625.62,109660.4,109625.62,109660.4,2.0737,227357.061472,5
2025-07-03 21:32:00,109625.62,109660.4,109625.62,109647.25,2.2112,242433.558347,6
2025-07-03 21:32:00,109625.62,109660.4,109625.62,109653.83,2.5741,282226.933254,7
2025-07-03 21:32:00,109625.62,109660.4,109625.62,109658.53,2.7551,302075.127184,8
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109685.79,2.9198,320140.376797,9
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109685.79,3.0826,337997.223409,10
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109681.09,3.1391,344194.204994,11
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109681.09,3.2554,356950.115761,12
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109642.54,3.4198,374975.349337,13
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109642.54,3.456,378944.409285,14
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109659.47,3.6214,397082.085623,15
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109659.45,3.6303,398058.054728,16
2025-07-03 21:32:00,109625.62,109685.79,109625.62,109685.79,3.7898,415552.787943,18
2025-07-03 21:32:00,109625.62,109715.87,109625.62,109715.87,3.891,426656.033987,19
2025-07-03 21:32:00,109625.62,109742.18,109625.62,109742.18,4.4732,490547.931183,20
2025-07-03 21:32:00,109625.62,109742.18,109625.62,109742.18,4.5077,494334.036393,21
2025-07-03 21:32:00,109625.62,109742.18,109625.62,109742.18,4.5089,494465.727009,22
2025-07-03 21:32:00,109625.62,109742.18,109625.62,109742.18,4.5323,497033.694021,23
2025-07-03 21:32:00,109625.62,109742.18,109625.62,109742.18,4.855,532447.495507,24
2025-07-03 21:32:00,109625.62,109742.22,109625.62,109742.22,5.2003,570341.484073,25
2025-07-03 21:32:00,109625.62,109758.17,109625.62,109758.17,5.2437,575104.988651,26
2025-07-03 21:32:00,109625.62,109765.68,109625.62,109765.68,5.5851,612578.991803,27
2025-07-03 21:33:00,109765.68,109765.68,109765.68,109765.68,0.0,0.0,0
2025-07-03 21:33:00,109765.68,109778.84,109765.68,109778.84,0.1815,19924.85946,1
2025-07-03 21:33:00,109765.68,109812.68,109765.68,109812.68,0.8682,95333.226816,2
2025-07-03 21:33:00,109765.68,109812.68,109765.68,109812.68,1.4184,155752.163352,3
