time,open,high,low,close,volume,RSI,SMA_25,SMA_50,wave_tag,tag,strategy_signal
2025-05-30 17:43:00,104618.27,104872.04,104605.09,104861.7,33.4508,29.743739079790245,,,0,1,0
2025-05-30 17:44:00,104881.45,105045.01,104849.48,105045.01,38.889,40.35648655552883,,,0,0,0
2025-05-30 17:45:00,105045.01,105245.23,105045.01,105190.7,4.5459,46.60144751112175,,,0,0,0
2025-05-30 17:46:00,105140.89,105199.17,105140.89,105189.76,18.7994,49.92530766129991,,,0,0,0
2025-05-30 17:47:00,105189.76,105224.54,105094.83,105100.47,19.1203,47.96601031233177,,,0,0,0
2025-05-30 17:48:00,105100.47,105136.18,105067.56,105103.29,11.3618,46.63270948698166,,,0,0,0
2025-05-30 17:49:00,105103.29,105142.76,105087.31,105142.76,10.4879,47.28833638475616,,,0,0,0
2025-05-30 17:50:00,105142.76,105208.56,105115.51,105208.56,8.5254,51.49329963603903,,,0,0,0
2025-05-30 17:51:00,105208.56,105237.7,105171.9,105210.45,61.648,56.6752763543649,,,0,0,0
2025-05-30 17:52:00,105210.45,105303.51,105210.45,105303.51,14.0402,61.844644708509385,,,0,0,0
2025-05-30 17:53:00,105303.51,105329.83,105280.01,105329.83,14.116,71.56155727316589,,,0,0,0
2025-05-30 17:54:00,105329.83,105475.53,105329.83,105439.81,88.169,76.08037181979806,,,0,0,0
2025-05-30 17:55:00,105439.81,105594.9,105392.81,105519.7,93.336,87.70009020641437,,,0,0,0
2025-05-30 17:56:00,105519.7,105597.73,105499.03,105561.06,18.9854,91.96705987091056,,,0,0,0
2025-05-30 17:57:00,105561.06,105590.2,105534.75,105587.39,6.4514,90.04248744689107,,,0,0,0
2025-05-30 17:58:00,105571.4,105657.89,105571.4,105657.89,16.8402,88.62656616331002,,,0,0,0
2025-05-30 17:59:00,105657.89,105666.34,105644.73,105644.73,14.1622,84.35405033216813,,,0,0,0
2025-05-30 18:00:00,105644.73,105644.73,105541.33,105569.53,26.8665,75.83223366482159,,,0,0,0
2025-05-30 18:01:00,105569.53,105693.61,105556.37,105693.61,18.0951,88.52258852258845,,,0,0,0
2025-05-30 18:02:00,105693.61,105723.68,105671.04,105718.98,18.044,88.84920684998924,,,1,0,0
2025-05-30 18:03:00,105718.98,105746.25,105686.09,105686.09,26.9949,84.57045416947689,,,0,0,0
2025-05-30 18:04:00,105686.09,105686.09,105546.03,105546.03,6.8763,69.61829575974622,,,0,0,0
2025-05-30 18:05:00,105546.03,105593.03,105511.25,105532.87,22.3691,68.50096401028267,,,0,0,0
2025-05-30 18:06:00,105532.87,105559.18,105517.83,105532.87,7.128,64.73467814467426,,,0,0,0
2025-05-30 18:07:00,105532.87,105532.87,105436.98,105475.53,34.0409,59.00138387782326,105394.0852,,0,0,0
2025-05-30 18:08:00,105475.53,105493.39,105433.23,105433.23,7.223599999999999,49.55638854430709,105416.9464,,0,0,0
2025-05-30 18:09:00,105433.23,105463.31,105374.95,105386.23,26.8315,40.5841269841269,105430.5952,,0,0,0
